i: 206, d: 221, x: 1665
i: 207, d: 222, x: 149
i: 208, d: 223, x: 224
i: 209, d: 224, x: 15
i: 210, d: 226, x: 451
i: 211, d: 227, x: 226
i: 212, d: 228, x: 151
i: 213, d: 229, x: 5848201
i: 214, d: 230, x: 91
i: 215, d: 231, x: 76
i: 216, d: 232, x: 19603
i: 217, d: 233, x: 1072400673
i: 218, d: 234, x: 5201
i: 219, d: 235, x: 46
i: 220, d: 236, x: 561799
i: 221, d: 237, x: 228151
i: 222, d: 238, x: 11663
i: 223, d: 239, x: 6195120
i: 224, d: 240, x: 31
i: 225, d: 241, x: 0
i: 226, d: 242, x: 19601
i: 227, d: 243, x: 70226
i: 228, d: 244, x: 1766319049
i: 229, d: 245, x: 51841
i: 230, d: 246, x: 88805
i: 231, d: 247, x: 85292
i: 232, d: 248, x: 63
i: 233, d: 249, x: 8553815
i: 234, d: 250, x: 39480499
i: 235, d: 251, x: 3674890
i: 236, d: 252, x: 127
i: 237, d: 253, x: 3222617399
i: 238, d: 254, x: 255
i: 239, d: 255, x: 16
i: 240, d: 257, x: 513
i: 241, d: 258, x: 257
i: 242, d: 259, x: 847225
i: 243, d: 260, x: 129
i: 244, d: 261, x: 192119201
i: 245, d: 262, x: 104980517
i: 246, d: 263, x: 139128
i: 247, d: 264, x: 65
i: 248, d: 265, x: 73738369
i: 249, d: 266, x: 685
i: 250, d: 267, x: 2402
i: 251, d: 268, x: 0
i: 252, d: 269, x: 13449
i: 253, d: 270, x: 5291
i: 254, d: 271, x: 0
i: 255, d: 272, x: 33
i: 256, d: 273, x: 727
i: 257, d: 274, x: 3959299
i: 258, d: 275, x: 199
i: 259, d: 276, x: 7775
i: 260, d: 277, x: 0
i: 261, d: 278, x: 2501
i: 262, d: 279, x: 1520
i: 263, d: 280, x: 251
i: 264, d: 281, x: 0
i: 265, d: 282, x: 2351
i: 266, d: 283, x: 138274082
i: 267, d: 284, x: 24220799
i: 268, d: 285, x: 2431
i: 269, d: 286, x: 561835
i: 270, d: 287, x: 288
i: 271, d: 288, x: 17
i: 272, d: 290, x: 579
i: 273, d: 291, x: 290
i: 274, d: 292, x: 2281249
i: 275, d: 293, x: 12320649
i: 276, d: 294, x: 4801
i: 277, d: 295, x: 2024999
i: 278, d: 296, x: 3699
i: 279, d: 297, x: 48599
i: 280, d: 298, x: 0
i: 281, d: 299, x: 415
i: 282, d: 300, x: 1351
i: 283, d: 301, x: 0
i: 284, d: 302, x: 4276623
i: 285, d: 303, x: 2524
i: 286, d: 304, x: 57799
i: 287, d: 305, x: 489
i: 288, d: 306, x: 35
i: 289, d: 307, x: 88529282
i: 290, d: 308, x: 351
i: 291, d: 309, x: 0
i: 292, d: 310, x: 848719
i: 293, d: 311, x: 16883880
i: 294, d: 312, x: 53
i: 295, d: 313, x: 0
i: 296, d: 314, x: 392499
i: 297, d: 315, x: 71
i: 298, d: 316, x: 12799
i: 299, d: 317, x: 0
i: 300, d: 318, x: 107
i: 301, d: 319, x: 12901780
i: 302, d: 320, x: 161
i: 303, d: 321, x: 215
i: 304, d: 322, x: 323
i: 305, d: 323, x: 18
i: 306, d: 325, x: 649
i: 307, d: 326, x: 325
i: 308, d: 327, x: 217
i: 309, d: 328, x: 163
i: 310, d: 329, x: 2376415
i: 311, d: 330, x: 109
i: 312, d: 331, x: 0
i: 313, d: 332, x: 13447
i: 314, d: 333, x: 73
i: 315, d: 334, x: 0
i: 316, d: 335, x: 604
i: 317, d: 336, x: 55
i: 318, d: 337, x: 0
i: 319, d: 338, x: 114243
i: 320, d: 339, x: 97970
i: 321, d: 340, x: 285769
i: 322, d: 341, x: 10626551
i: 323, d: 342, x: 37
i: 324, d: 343, x: 130576328
i: 325, d: 344, x: 10405
i: 326, d: 345, x: 6761
i: 327, d: 346, x: 17299
i: 328, d: 347, x: 641602
i: 329, d: 348, x: 1567
i: 330, d: 349, x: 169648201
i: 331, d: 350, x: 449
i: 332, d: 351, x: 62425
i: 333, d: 352, x: 77617
i: 334, d: 353, x: 0
i: 335, d: 354, x: 258065
i: 336, d: 355, x: 954809
i: 337, d: 356, x: 500001
i: 338, d: 357, x: 3401
i: 339, d: 358, x: 0
i: 340, d: 359, x: 360
i: 341, d: 360, x: 19
i: 342, d: 362, x: 723
i: 343, d: 363, x: 362
i: 344, d: 364, x: 4954951
i: 345, d: 365, x: 23915529
i: 346, d: 366, x: 907925
i: 347, d: 367, x: 0
i: 348, d: 368, x: 1151
i: 349, d: 369, x: 8396801
i: 350, d: 370, x: 213859
i: 351, d: 371, x: 1695
i: 352, d: 372, x: 12151
i: 353, d: 373, x: 52387849
i: 354, d: 374, x: 3365
i: 355, d: 375, x: 15124
i: 356, d: 376, x: 2143295
i: 357, d: 377, x: 233
i: 358, d: 378, x: 8749
i: 359, d: 379, x: 0
i: 360, d: 380, x: 39
